User_ID,First_name,Last_name,Gender,DoB,Email,Date_Membered,Last_Date_Accessed
U-1,Samuel,Lynch,Male,12/11/95,slynch0@who.int,6/20/11,1/7/15
U-2,Rose,Marshall,Female,4/27/81,rmarshall1@free.fr,5/3/12,10/4/14
U-3,Theresa,Graham,Female,12/9/92,tgraham2@omniture.com,8/2/12,11/25/14
U-4,Ryan,Rivera,Male,11/15/95,rrivera3@themeforest.net,10/20/11,2/24/15
U-5,Adam,Castillo,Male,12/11/84,acastillo4@google.ca,5/7/12,9/16/14
U-6,Mildred,Morrison,Female,7/3/91,mmorrison5@w3.org,9/25/12,10/19/14
U-7,Cheryl,Frazier,Female,1/31/74,cfrazier6@acquirethisname.com,6/29/11,11/25/14
U-8,Maria,Cooper,Female,4/24/80,mcooper7@cloudflare.com,4/15/11,10/20/14
U-9,Thomas,Morgan,Male,1/4/75,tmorgan8@icio.us,6/23/12,1/24/15
U-10,Craig,Spencer,Male,10/26/74,cspencer9@mtv.com,1/6/12,12/13/14
U-11,Stephanie,Hamilton,Female,6/22/78,shamiltona@creativecommons.org,8/4/12,10/14/14
U-12,William,Peterson,Male,7/3/89,wpetersonb@cargocollective.com,3/19/12,10/31/14
U-13,Samuel,Carroll,Male,11/18/70,scarrollc@sun.com,3/13/12,10/29/14
U-14,Johnny,Mills,Male,6/1/72,jmillsd@qq.com,5/11/11,1/28/15
U-15,Michael,Martin,Male,5/2/73,mmartine@a8.net,2/29/12,1/16/15
U-16,Sara,Bradley,Female,2/15/74,sbradleyf@fda.gov,12/5/11,2/5/15
U-17,Alice,Wallace,Female,11/17/74,awallaceg@upenn.edu,6/29/11,9/25/14
U-18,Donald,Marshall,Male,1/23/72,dmarshallh@csmonitor.com,11/7/12,10/30/14
U-19,Daniel,Holmes,Male,11/21/80,dholmesi@theglobeandmail.com,7/19/12,11/25/14
U-20,David,Phillips,Male,9/21/73,dphillipsj@samsung.com,10/26/12,11/6/14
U-21,Randy,Brooks,Male,1/11/89,rbrooksk@blogspot.com,10/18/11,1/22/15
U-22,Deborah,Dunn,Female,12/12/89,ddunnl@netvibes.com,4/5/12,9/19/14
U-23,Robin,Bradley,Female,6/28/90,rbradleym@stumbleupon.com,5/30/12,9/1/14
U-24,Matthew,Jacobs,Male,9/7/91,mjacobsn@bluehost.com,8/4/11,11/9/14
U-25,Bonnie,Berry,Female,12/2/78,bberryo@w3.org,5/19/12,11/29/14
U-26,Ann,Martinez,Female,5/23/83,amartinezp@yellowpages.com,11/17/11,9/25/14
U-27,Jose,Riley,Male,8/8/87,jrileyq@eventbrite.com,8/5/11,9/25/14
U-28,Gregory,Stanley,Male,3/21/93,gstanleyr@lulu.com,4/17/11,9/12/14
U-29,Diane,Olson,Female,2/2/79,dolsons@pinterest.com,4/3/11,9/14/14
U-30,Clarence,Burns,Male,6/23/75,cburnst@techcrunch.com,1/1/12,9/20/14
